iter	Passed	Remaining
0	1	1331
1	2	1153
2	3	1033
3	3	944
4	4	890
5	5	861
6	6	857
7	6	840
8	7	831
9	8	822
10	9	816
11	9	816
12	10	817
13	11	808
14	12	809
15	13	805
16	14	814
17	15	826
18	16	831
19	16	825
20	17	824
21	18	824
22	19	828
23	20	825
24	21	824
25	21	819
26	22	811
27	23	805
28	23	798
29	24	791
30	25	786
31	25	783
32	26	777
33	27	777
34	28	778
35	28	775
36	29	773
37	30	766
38	30	760
39	31	755
40	32	750
41	32	747
42	33	744
43	34	743
44	34	738
45	35	736
46	36	734
47	37	735
48	37	736
49	38	734
50	39	731
51	39	728
52	40	726
53	41	726
54	42	724
55	42	722
56	43	718
57	44	716
58	44	712
59	45	709
60	45	708
61	46	705
62	47	704
63	48	702
64	48	701
65	49	699
66	50	702
67	51	702
68	52	701
69	52	699
70	53	697
71	53	694
72	54	692
73	55	691
74	56	692
75	56	690
76	57	687
77	57	685
78	58	683
79	59	682
80	60	682
81	60	680
82	61	675
83	61	674
84	62	673
85	63	673
86	64	674
87	65	674
88	65	673
89	66	672
90	67	670
91	67	668
92	68	667
93	69	667
94	69	666
95	70	667
96	71	666
97	72	666
98	73	666
99	74	666
100	74	665
101	75	664
102	76	664
103	77	666
104	78	666
105	78	665
106	79	664
107	80	662
108	80	660
109	81	658
110	82	658
111	83	658
112	83	657
113	84	656
114	85	656
115	86	656
116	86	654
117	87	654
118	88	654
119	89	652
120	89	651
121	90	648
122	91	655
123	92	654
124	93	653
125	93	651
126	94	649
127	95	648
128	95	647
129	96	646
130	97	645
131	97	643
132	98	642
133	99	642
134	100	642
135	100	641
136	101	640
137	102	638
138	102	636
139	103	635
140	104	634
141	104	632
142	105	632
143	106	631
144	106	630
145	107	630
146	108	630
147	109	629
148	110	629
149	110	628
150	111	626
151	112	626
152	112	625
153	113	624
154	114	624
155	115	623
156	115	622
157	116	620
158	117	619
159	117	618
160	118	616
161	119	615
162	119	614
163	120	613
164	121	613
165	121	611
166	122	611
167	123	610
168	123	609
169	124	609
170	125	608
171	126	607
172	126	606
173	127	606
174	128	605
175	128	603
176	129	602
177	130	602
178	131	601
179	131	600
180	132	600
181	133	599
182	133	598
183	134	597
184	135	596
185	136	596
186	137	595
187	137	594
188	138	593
189	138	592
190	139	591
191	140	590
192	141	591
193	142	590
194	142	588
195	143	587
196	143	586
197	144	585
198	145	586
199	146	585
200	147	584
201	147	583
202	148	582
203	149	581
204	149	581
205	150	580
206	151	578
207	151	577
208	152	576
209	152	575
210	153	574
211	154	574
212	155	573
213	155	572
214	156	571
215	157	570
216	158	571
217	159	571
218	159	570
219	160	569
220	161	568
221	161	567
222	162	565
223	163	565
224	163	564
225	164	563
226	165	562
227	165	561
228	166	560
229	167	560
230	168	559
231	168	558
232	169	557
233	170	556
234	170	556
235	171	555
236	172	554
237	172	553
238	173	553
239	174	552
240	175	552
241	176	553
242	177	552
243	178	552
244	179	551
245	179	551
246	180	551
247	181	551
248	182	551
249	183	551
250	184	550
251	185	549
252	185	549
253	186	548
254	187	547
255	188	546
256	188	545
257	189	544
258	190	544
259	190	543
260	191	542
261	192	542
262	193	541
263	194	541
264	194	540
265	195	540
266	196	539
267	197	538
268	198	538
269	199	538
270	199	537
271	200	536
272	201	536
273	202	535
274	203	535
275	204	535
276	205	535
277	205	534
278	206	533
279	207	533
280	208	533
281	209	532
282	210	532
283	210	531
284	211	531
285	212	531
286	213	530
287	214	530
288	215	529
289	216	529
290	217	529
291	218	528
292	218	528
293	219	527
294	220	526
295	221	526
296	222	525
297	223	525
298	223	524
299	224	523
300	225	523
301	225	522
302	226	521
303	227	521
304	228	520
305	228	519
306	229	518
307	230	517
308	231	517
309	231	516
310	232	515
311	233	514
312	234	513
313	234	513
314	235	512
315	236	511
316	237	510
317	237	509
318	238	508
319	238	507
320	239	506
321	240	506
322	241	505
323	241	504
324	242	503
325	243	503
326	244	503
327	245	502
328	245	501
329	246	500
330	247	499
331	247	498
332	248	497
333	249	496
334	249	495
335	250	494
336	251	493
337	251	492
338	252	491
339	253	491
340	253	490
341	254	489
342	255	489
343	256	488
344	256	487
345	257	487
346	258	486
347	259	486
348	259	484
349	260	484
350	261	483
351	262	482
352	262	481
353	263	480
354	264	479
355	264	478
356	265	477
357	266	477
358	266	476
359	267	475
360	268	475
361	269	474
362	269	473
363	270	473
364	271	472
365	272	471
366	272	470
367	273	469
368	274	468
369	274	468
370	275	467
371	276	466
372	276	465
373	277	464
374	278	464
375	279	463
376	279	462
377	280	462
378	281	461
379	282	460
380	282	459
381	283	458
382	284	457
383	284	456
384	285	456
385	286	455
386	286	454
387	287	453
388	287	452
389	288	451
390	289	450
391	290	450
392	290	449
393	291	448
394	292	448
395	293	447
396	294	447
397	295	446
398	295	445
399	296	444
400	296	443
401	297	442
402	298	441
403	298	441
404	299	440
405	300	439
406	300	438
407	301	437
408	302	436
409	303	436
410	303	435
411	304	434
412	305	433
413	306	433
414	306	432
415	307	431
416	308	430
417	308	429
418	309	429
419	310	428
420	310	427
421	311	426
422	312	426
423	312	425
424	313	424
425	314	423
426	314	422
427	315	421
428	316	420
429	316	420
430	317	419
431	318	418
432	319	418
433	319	417
434	320	416
435	321	415
436	322	414
437	322	414
438	323	413
